guid,label
278,positive
3242,positive
407,positive
501,positive
1753,positive
84,positive
3677,positive
4524,neutral
1329,positive
1774,negative
226,positive
2839,negative
3654,positive
3887,negative
1732,positive
1221,positive
3089,negative
2036,positive
790,positive
804,positive
3256,negative
44,positive
2354,negative
4683,positive
3613,positive
2781,positive
3994,positive
1170,positive
620,positive
1405,positive
1126,positive
1260,positive
2741,negative
279,positive
1318,positive
3015,neutral
5069,positive
4560,positive
2350,negative
1761,negative
64,negative
1286,negative
2820,positive
4047,neutral
272,negative
2370,neutral
4117,positive
1737,positive
3390,positive
3772,negative
2731,neutral
414,negative
4680,positive
3298,negative
4461,neutral
1246,negative
4256,positive
3112,negative
2065,positive
162,positive
342,positive
3828,negative
1127,positive
4374,positive
1368,positive
2757,positive
2598,positive
4792,positive
4799,neutral
4414,negative
4200,negative
2986,positive
2432,positive
3110,positive
1933,positive
2024,neutral
4295,negative
1794,positive
4989,negative
2550,negative
1492,negative
1570,positive
465,positive
833,positive
668,negative
1556,positive
4275,positive
1356,negative
4339,positive
3227,positive
1817,positive
4393,negative
564,positive
3399,positive
1203,positive
1714,neutral
2870,positive
4742,positive
5012,positive
1808,neutral
3820,positive
4228,positive
3066,positive
4120,positive
1927,negative
3841,positive
907,positive
1044,neutral
1468,positive
1470,positive
2874,positive
183,positive
2766,negative
1787,positive
210,positive
1935,positive
443,positive
3955,negative
1233,positive
1167,positive
4476,negative
4565,positive
4376,negative
816,positive
3132,positive
3667,negative
4423,negative
4858,negative
569,positive
5006,positive
4481,positive
1435,neutral
314,positive
1813,positive
2552,neutral
3813,positive
3146,positive
2608,positive
2033,positive
2000,positive
3626,positive
4965,positive
953,positive
3218,positive
355,positive
4176,positive
4641,positive
1201,positive
4684,positive
79,positive
69,negative
1190,positive
1654,positive
1579,neutral
4999,positive
96,positive
1532,negative
5018,positive
1939,positive
4867,positive
4159,negative
3893,positive
644,positive
447,positive
1937,negative
1242,neutral
1745,positive
1196,neutral
4818,negative
3561,positive
4645,neutral
4938,negative
851,positive
3492,positive
223,positive
2669,positive
2069,negative
3130,negative
334,negative
1373,negative
4076,negative
1803,positive
2915,neutral
3954,negative
227,positive
4380,negative
2668,negative
919,negative
2714,negative
3669,negative
2768,positive
97,negative
991,positive
2983,negative
2758,positive
144,positive
4979,positive
4837,positive
4410,positive
13,positive
3890,positive
4913,positive
2875,neutral
4701,positive
2119,negative
3535,positive
2167,negative
1698,negative
2821,positive
1552,positive
2022,positive
4757,positive
2464,negative
4922,positive
4136,negative
1344,negative
1439,positive
4045,positive
622,positive
4287,positive
4039,positive
4537,neutral
4409,positive
