guid,label
1431,positive
100,positive
1925,positive
773,positive
3208,positive
936,neutral
4149,positive
4208,positive
1319,negative
1695,negative
2449,positive
1574,neutral
3742,positive
576,positive
3194,positive
4925,neutral
2373,positive
550,negative
3718,positive
1514,negative
1114,positive
1032,positive
1460,negative
4854,negative
1661,neutral
2903,neutral
3015,neutral
1235,positive
224,positive
528,neutral
3582,positive
965,negative
3413,negative
149,positive
188,negative
5062,negative
285,negative
863,neutral
410,positive
2813,positive
4606,negative
4887,negative
4550,positive
3951,negative
2330,negative
4780,positive
2019,positive
3281,negative
1470,positive
3297,positive
3038,positive
3797,neutral
2025,negative
1001,positive
2509,positive
2757,positive
85,neutral
483,neutral
861,negative
1669,positive
374,neutral
3833,neutral
3209,positive
1951,negative
586,neutral
3509,negative
5076,negative
636,negative
3296,positive
765,positive
688,positive
3745,positive
1907,positive
4837,positive
893,positive
782,negative
2024,neutral
2782,positive
1245,positive
4863,neutral
3597,positive
440,positive
4014,positive
253,negative
1879,positive
950,positive
3632,positive
3348,positive
4664,positive
4148,neutral
4730,positive
110,negative
3101,positive
204,negative
2937,neutral
3598,positive
1922,positive
1443,negative
2136,positive
680,negative
585,positive
338,positive
1894,negative
3525,positive
2313,negative
3504,positive
4732,positive
3385,positive
1357,positive
2992,neutral
2892,positive
1422,positive
4866,negative
716,positive
2768,positive
3761,positive
211,neutral
1736,positive
1256,positive
9,positive
2988,neutral
3022,positive
1692,neutral
3089,negative
4360,negative
2135,positive
2869,neutral
2029,negative
876,positive
4332,negative
3109,positive
2771,positive
4932,neutral
123,positive
408,positive
3028,positive
2673,negative
3434,negative
1593,negative
3110,positive
2875,neutral
2329,negative
4017,positive
1141,positive
2651,negative
2102,neutral
2165,neutral
3576,positive
4951,positive
2318,neutral
2868,neutral
2603,negative
1369,positive
4774,positive
665,positive
219,neutral
2367,neutral
2774,negative
4132,negative
2552,neutral
581,neutral
3267,neutral
1089,neutral
2612,positive
3934,negative
747,positive
2073,negative
470,positive
3033,positive
2559,positive
4928,positive
277,positive
4390,negative
180,neutral
1645,positive
4122,neutral
1060,negative
1444,negative
2072,positive
4778,positive
4771,positive
3801,positive
1643,positive
